STATE,STATEA,COUNTY,COUNTYA,num_vehicles,tot_vehicles,st_cnty_name
Alabama,1,St. Clair County,115,1,8272,"St. Clair County, Alabama"
Alabama,1,St. Clair County,115,2,12670,"St. Clair County, Alabama"
Alabama,1,St. Clair County,115,3,6723,"St. Clair County, Alabama"
Alabama,1,St. Clair County,115,4,2078,"St. Clair County, Alabama"
Alabama,1,St. Clair County,115,5,1269,"St. Clair County, Alabama"
Alabama,1,Shelby County,117,1,20553,"Shelby County, Alabama"
Alabama,1,Shelby County,117,2,34155,"Shelby County, Alabama"
Alabama,1,Shelby County,117,3,16116,"Shelby County, Alabama"
Alabama,1,Shelby County,117,4,4811,"Shelby County, Alabama"
Alabama,1,Shelby County,117,5,1774,"Shelby County, Alabama"
Alabama,1,Sumter County,119,1,2232,"Sumter County, Alabama"
Alabama,1,Sumter County,119,2,1285,"Sumter County, Alabama"
Alabama,1,Sumter County,119,3,706,"Sumter County, Alabama"
Alabama,1,Sumter County,119,4,233,"Sumter County, Alabama"
Alabama,1,Sumter County,119,5,181,"Sumter County, Alabama"
Alabama,1,Talladega County,121,1,9749,"Talladega County, Alabama"
Alabama,1,Talladega County,121,2,10577,"Talladega County, Alabama"
Alabama,1,Talladega County,121,3,5488,"Talladega County, Alabama"
Alabama,1,Talladega County,121,4,2210,"Talladega County, Alabama"
Alabama,1,Talladega County,121,5,934,"Talladega County, Alabama"
Alabama,1,Tallapoosa County,123,1,4826,"Tallapoosa County, Alabama"
Alabama,1,Tallapoosa County,123,2,5692,"Tallapoosa County, Alabama"
Alabama,1,Tallapoosa County,123,3,2999,"Tallapoosa County, Alabama"
Alabama,1,Tallapoosa County,123,4,958,"Tallapoosa County, Alabama"
Alabama,1,Tallapoosa County,123,5,449,"Tallapoosa County, Alabama"
Alabama,1,Tuscaloosa County,125,1,24340,"Tuscaloosa County, Alabama"
Alabama,1,Tuscaloosa County,125,2,27933,"Tuscaloosa County, Alabama"
Alabama,1,Tuscaloosa County,125,3,10681,"Tuscaloosa County, Alabama"
Alabama,1,Tuscaloosa County,125,4,3698,"Tuscaloosa County, Alabama"
Alabama,1,Tuscaloosa County,125,5,1450,"Tuscaloosa County, Alabama"
Alabama,1,Walker County,127,1,7430,"Walker County, Alabama"
Alabama,1,Walker County,127,2,8762,"Walker County, Alabama"
Alabama,1,Walker County,127,3,4567,"Walker County, Alabama"
Alabama,1,Walker County,127,4,2085,"Walker County, Alabama"
Alabama,1,Walker County,127,5,814,"Walker County, Alabama"
Alabama,1,Washington County,129,1,1920,"Washington County, Alabama"
Alabama,1,Washington County,129,2,1973,"Washington County, Alabama"
Alabama,1,Washington County,129,3,1163,"Washington County, Alabama"
Alabama,1,Washington County,129,4,462,"Washington County, Alabama"
Alabama,1,Washington County,129,5,217,"Washington County, Alabama"
Alabama,1,Wilcox County,131,1,1174,"Wilcox County, Alabama"
Alabama,1,Wilcox County,131,2,1202,"Wilcox County, Alabama"
Alabama,1,Wilcox County,131,3,615,"Wilcox County, Alabama"
Alabama,1,Wilcox County,131,4,207,"Wilcox County, Alabama"
Alabama,1,Wilcox County,131,5,56,"Wilcox County, Alabama"
Alabama,1,Winston County,133,1,2880,"Winston County, Alabama"
Alabama,1,Winston County,133,2,3303,"Winston County, Alabama"
Alabama,1,Winston County,133,3,1926,"Winston County, Alabama"
Alabama,1,Winston County,133,4,602,"Winston County, Alabama"
Alabama,1,Winston County,133,5,376,"Winston County, Alabama"
Alaska,2,Aleutians East Borough,13,1,323,"Aleutians East Borough, Alaska"
Alaska,2,Aleutians East Borough,13,2,282,"Aleutians East Borough, Alaska"
Alaska,2,Aleutians East Borough,13,3,86,"Aleutians East Borough, Alaska"
Alaska,2,Aleutians East Borough,13,4,6,"Aleutians East Borough, Alaska"
Alaska,2,Aleutians East Borough,13,5,3,"Aleutians East Borough, Alaska"
Alaska,2,Aleutians West Census Area,16,1,528,"Aleutians West Census Area, Alaska"
Alaska,2,Aleutians West Census Area,16,2,323,"Aleutians West Census Area, Alaska"
Alaska,2,Aleutians West Census Area,16,3,120,"Aleutians West Census Area, Alaska"
Alaska,2,Aleutians West Census Area,16,4,26,"Aleutians West Census Area, Alaska"
Alaska,2,Aleutians West Census Area,16,5,11,"Aleutians West Census Area, Alaska"
Alaska,2,Anchorage Municipality,20,1,33455,"Anchorage Municipality, Alaska"
Alaska,2,Anchorage Municipality,20,2,43323,"Anchorage Municipality, Alaska"
Alaska,2,Anchorage Municipality,20,3,16168,"Anchorage Municipality, Alaska"
Alaska,2,Anchorage Municipality,20,4,5046,"Anchorage Municipality, Alaska"
Alaska,2,Anchorage Municipality,20,5,2122,"Anchorage Municipality, Alaska"
Alaska,2,Bethel Census Area,50,1,1178,"Bethel Census Area, Alaska"
Alaska,2,Bethel Census Area,50,2,608,"Bethel Census Area, Alaska"
Alaska,2,Bethel Census Area,50,3,151,"Bethel Census Area, Alaska"
Alaska,2,Bethel Census Area,50,4,30,"Bethel Census Area, Alaska"
Alaska,2,Bethel Census Area,50,5,15,"Bethel Census Area, Alaska"
Alaska,2,Bristol Bay Borough,60,1,113,"Bristol Bay Borough, Alaska"
Alaska,2,Bristol Bay Borough,60,2,97,"Bristol Bay Borough, Alaska"
Alaska,2,Bristol Bay Borough,60,3,32,"Bristol Bay Borough, Alaska"
Alaska,2,Bristol Bay Borough,60,4,24,"Bristol Bay Borough, Alaska"
Alaska,2,Bristol Bay Borough,60,5,9,"Bristol Bay Borough, Alaska"
Alaska,2,Denali Borough,68,1,152,"Denali Borough, Alaska"
Alaska,2,Denali Borough,68,2,228,"Denali Borough, Alaska"
Alaska,2,Denali Borough,68,3,118,"Denali Borough, Alaska"
Alaska,2,Denali Borough,68,4,51,"Denali Borough, Alaska"
Alaska,2,Denali Borough,68,5,43,"Denali Borough, Alaska"
Alaska,2,Dillingham Census Area,70,1,491,"Dillingham Census Area, Alaska"
Alaska,2,Dillingham Census Area,70,2,297,"Dillingham Census Area, Alaska"
Alaska,2,Dillingham Census Area,70,3,40,"Dillingham Census Area, Alaska"
Alaska,2,Dillingham Census Area,70,4,33,"Dillingham Census Area, Alaska"
Alaska,2,Dillingham Census Area,70,5,19,"Dillingham Census Area, Alaska"
Alaska,2,Fairbanks North Star Borough,90,1,10277,"Fairbanks North Star Borough, Alaska"
Alaska,2,Fairbanks North Star Borough,90,2,14571,"Fairbanks North Star Borough, Alaska"
Alaska,2,Fairbanks North Star Borough,90,3,5859,"Fairbanks North Star Borough, Alaska"
Alaska,2,Fairbanks North Star Borough,90,4,2225,"Fairbanks North Star Borough, Alaska"
Alaska,2,Fairbanks North Star Borough,90,5,1278,"Fairbanks North Star Borough, Alaska"
Alaska,2,Haines Borough,100,1,271,"Haines Borough, Alaska"
Alaska,2,Haines Borough,100,2,439,"Haines Borough, Alaska"
Alaska,2,Haines Borough,100,3,105,"Haines Borough, Alaska"
Alaska,2,Haines Borough,100,4,68,"Haines Borough, Alaska"
Alaska,2,Haines Borough,100,5,62,"Haines Borough, Alaska"
Alaska,2,Hoonah-Angoon Census Area,105,1,242,"Hoonah-Angoon Census Area, Alaska"
Alaska,2,Hoonah-Angoon Census Area,105,2,199,"Hoonah-Angoon Census Area, Alaska"
Alaska,2,Hoonah-Angoon Census Area,105,3,86,"Hoonah-Angoon Census Area, Alaska"
Alaska,2,Hoonah-Angoon Census Area,105,4,17,"Hoonah-Angoon Census Area, Alaska"
Alaska,2,Hoonah-Angoon Census Area,105,5,8,"Hoonah-Angoon Census Area, Alaska"
Alaska,2,Juneau City and Borough,110,1,4395,"Juneau City and Borough, Alaska"
Alaska,2,Juneau City and Borough,110,2,4943,"Juneau City and Borough, Alaska"
Alaska,2,Juneau City and Borough,110,3,1744,"Juneau City and Borough, Alaska"
Alaska,2,Juneau City and Borough,110,4,346,"Juneau City and Borough, Alaska"
Alaska,2,Juneau City and Borough,110,5,243,"Juneau City and Borough, Alaska"
Alaska,2,Kenai Peninsula Borough,122,1,6567,"Kenai Peninsula Borough, Alaska"
Alaska,2,Kenai Peninsula Borough,122,2,8310,"Kenai Peninsula Borough, Alaska"
Alaska,2,Kenai Peninsula Borough,122,3,3584,"Kenai Peninsula Borough, Alaska"
Alaska,2,Kenai Peninsula Borough,122,4,1162,"Kenai Peninsula Borough, Alaska"
Alaska,2,Kenai Peninsula Borough,122,5,644,"Kenai Peninsula Borough, Alaska"
Alaska,2,Ketchikan Gateway Borough,130,1,1837,"Ketchikan Gateway Borough, Alaska"
Alaska,2,Ketchikan Gateway Borough,130,2,1797,"Ketchikan Gateway Borough, Alaska"
Alaska,2,Ketchikan Gateway Borough,130,3,790,"Ketchikan Gateway Borough, Alaska"
Alaska,2,Ketchikan Gateway Borough,130,4,220,"Ketchikan Gateway Borough, Alaska"
Alaska,2,Ketchikan Gateway Borough,130,5,75,"Ketchikan Gateway Borough, Alaska"
